bbsName,bbsSysop,newLogin,TelnetAddress,bbsPort,sshPort,WebAddress,location,Modem,software,country,state_province,software_clean
Amis XE,SouthernAmis,amis86,amis86.ddns.net,9000.0,,http://southernamis.com,"Southern , CA, USA",760-330-2600 (AMISXE/AMISXE),Atari,USA,CA,Other
Amnesia BBS,,NEW,amnesiabbs.duckdns.org,,,,"Minneapolis, MN, USA",,Synchronet,USA,MN,Synchronet
AMSTRAD BBS,,NEW,amstrad.simulant.uk,464.0,,,"York, , England",,Synchronet,England,,Synchronet
Analog Waffle,no2pencil,NEW,waffle.c4bmore.com,2001.0,,,"Fort Lauderdale, FL, USA",,Waffle BBS,USA,FL,Other
Anduin BBS,,NEW,bbs.anduin.net,,,,"Oslo, , Norway",,Synchronet,Norway,,Synchronet
Animation Game Station (Animeyo),,guest,54.238.90.108,,,,"Tokyo, , Japan",,Custom,Japan,,Other
Another Droid BBS,,Desired Handle,andr01d.zapto.org,9999.0,,,"Athens, , Greece",,Mystic,Greece,,Mystic
Another F-ing BBS,Gary Crunk,Desired Handle,anotherbbs.dynu.net,1337.0,,,"Eloy, AZ, USA",,Mystic,USA,AZ,Mystic
ANSITex,,NEW,alterant.bbs.dege.au,,,,"Parkdale, VIC, Australia",,Synchronet,Australia,VIC,Synchronet
Anti Earth Union Government (Chinese),,new,aeug.asuscomm.com,8888.0,,,"Taipei, , Taiwan",,MapleBBS,Taiwan,,Other
Antidote,,NEW,antidote.triad.se,64128.0,,,"Bjuv, , Sweden",,C-Base,Sweden,,C-Base
Antikitera,,NEW,technotron.asuscomm.com,,,,"Trekgorka, , Russia",,Synchronet,Russia,,Synchronet
Anybox BBS,,NEW,anybox.freedyndns.de,,,,"Barmstedt, , Germany",,Synchronet,Germany,,Synchronet
Aperture Science Employee Mainframe,,Desired Handle,rcfeed.concomcompany.com,31810.0,,,"Kanab, UT, USA",,Mystic,USA,UT,Mystic
Apostols,,new,bbs.apostols.org,,,,"Berlin, , Germany",,Custom,Germany,,Other
Arcadia BBS,Michael Pedersen,Desired Handle,bbs.arcadiabbs.com,23.0,22.0,http://www.arcadiabbs.com,"Putnam, CT, USA",,Mystic,USA,CT,Mystic
Arcadian Torga BBS,,Desired Handle,mbse.gzrbbs.net,2323.0,,,"Lerino, , Italy",,EleBBS,Italy,,Other
Archaic Binary,zharvek,Choose from Menu,bbs.archaicbinary.net,23.0,22.0,http://www.archaicbinary.net/bbs,"Orlando, FL, USA",,Custom,USA,FL,Other
ArcticZone Online Entertainment,,NEW,bbs.arcticzonebbs.net,,,,"Clarksville, VA, USA",,Worldgroup,USA,VA,Other
ARDA-BBS.com,Tim Woodland,Desired Handle,arda-bbs.com,23.0,22.0,,"Delaware, OH, USA",937-315-0002,Mystic,USA,OH,Mystic
Area 51,,NEW,74.75.213.5,,,,"Lockport, NY, USA",,Synchronet,USA,NY,Synchronet
Area 52,Joe Phigan,new,area52.tk,5200.0,,,"Phoenix, AZ, USA",,BBS Express!,USA,AZ,Other
Arena BBS,,Desired Handle,netasylum.com,2323.0,,,"Defiance, OH, USA",,Mystic,USA,OH,Mystic
ARTNET,,NEW,50.116.51.149,,,,"Cedar Knolls, NJ, USA",,Synchronet,USA,NJ,Synchronet
ASANOCOMP,,NEW,asanocomp.ddns.net,2300.0,,,"Las Vegas, NV, USA",,Synchronet,USA,NV,Synchronet
Astronet BBS,,Desired Handle,75.191.53.47,,,,"Kannapolis, NC, USA",,Mystic,USA,NC,Mystic
AT2K Design BBS,Steve Winn,NEW,bbs.at2k.org,23.0,,http://www.at2k.org,"Clarksville, TN, USA",,Virtual Advanced,USA,TN,Other
Atari BBS Gateway,SouthernAmis,,ataribbs.ddns.net,6502.0,,http://southernamis.com,"Capo, CA, USA",,Virtual Advanced,USA,CA,Other
Atari Portfolio BBS,,new,pofobbs.ddns.net,992.0,,,"Fayetteville, NC, USA",,RYBBS,USA,NC,Other
Atavachron BBS,Scott Comstock,NEW,atavachronbbs.net,23.0,22.0,,"Newark, NJ, USA",,Synchronet,USA,NJ,Synchronet
Athelstan BBS,,NEW,athelstan.org,23.0,,,"Houston, TX, USA",,Synchronet,USA,TX,Synchronet
Atlantis BBS,,NEW,atl.ddns.net,6401.0,,,"Atlanta, GA, USA",,Image BBS,USA,GA,Image BBS
Atmosphere BBS (NTU),,new,bbs.as.ntu.edu.tw,,,,"Taipei, , Taiwan",,Custom,Taiwan,,Other
Attic BBS (1),,NEW,theattic.v1cd3m1z3r.net,,,,"Victoria, BC, Canada",,Synchronet,Canada,BC,Synchronet
Attic BBS (2),,NEW,bbs.millhill.org,2323.0,,,"Malmo, , Sweden",,Synchronet,Sweden,,Synchronet
Avalon Isle BBS,,NEW,atl.ddns.net,6400.0,,,"Atlanta, GA, USA",,Image BBS,USA,GA,Image BBS
Avast! BBS,,NEW,avastbbs.servegame.com,,,,"Adelaide, SA, Australia",,Worldgroup,Australia,SA,Other
Baba Yaga's Dancing Hut BBS,,NEW,68.98.101.79,,,,"Phoenix, AZ, USA",,Worldgroup,USA,AZ,Other
Back In Time,Michael Sacher,,backintime.ddns.net,6510.0,,http://www.virtualdimension.de ,"Hofheim, , Germany ",,commodore,Germany,,Other
Back to the Future (SSH),outatime,NEW,bttfbbs.com,22.0,22.0,http://bttfbbs.com,"State College, PA, USA",,X/84,USA,PA,Other
Backwood Realm BBS,Tim Wray,NEW,bwrbbs.ddns.net,,,,"Bedford, IN, USA",,Synchronet,USA,IN,Synchronet
Bahamut BBS,,new,bbs.gamer.com.tw,,,,"Taipei, , Taiwan",,MapleBBS,Taiwan,,Other
Barbaria (SSH),Eric McDonald,bbs,barbaria.norbus.com,22.0,22.0,,"Santa Barbara, CA, USA",,Citadel,USA,CA,Other
Basement BBS,John Polka,,basementbbs.ddns.net,9000.0,,http://basementbbs.ddns.net:7000/,"Portland, OR, USA",503-245-5416,BBS Express Pro,USA,OR,Other
Bass Planet,,Desired Handle,thebassplanet.com,64128.0,,,"Ewing, NJ, USA",,C-Base,USA,NJ,C-Base
Baudville,,new,amis86.ddns.net,9000.0,,,"Dana Point, CA, USA",,Fuji Amis,USA,CA,Other
Bayou BBS,,new,jayctheriot.com,6401.0,,,"Houma, LA, USA",,Image BBS,USA,LA,Image BBS
Bayou Blog BBS,,Desired Handle,bayoublog.ddns.net,,,,"Baton Rouge, LA, USA",,Mystic,USA,LA,Mystic
BBS Development,,NEW,bbsdev.net,23.0,,,"Los Angeles, CA, USA",,Synchronet,USA,CA,Synchronet
BBS Gamer,Derrick M,NEW,bbsgamer.ddns.net,2600.0,2200.0,http://bbsgamer.ddns.net,"El Paso, TX, USA",,Synchronet,USA,TX,Synchronet
BBS GameTime (MajorBBS),,NEW,freespeak.hopto.org,1337.0,,,"Canonsburg, PA, USA",,MajorBBS,USA,PA,Other
BBS GameTime (Menu),Gary Ailes,Desired Handle,freespeak.hopto.org,,,http://web.bbsgametime.com,"McMurray, PA, USA",,Mystic,USA,PA,Mystic
BBS GameTime (PCBoard),,new,freespeak.hopto.org,233.0,,,"Canonsburg, PA, USA",,PCBoard,USA,PA,Other
BBS GameTime (Synchronet),,NEW,freespeak.hopto.org,23233.0,,,"Canonsburg, PA, USA",,Synchronet,USA,PA,Synchronet
BBS OldChat,Andrew Apanasenko,NEW,bbs.oldchat.ru,,,,"Mytishchi, , Russian Federation",,Custom,Russian Federation,,Other
BBS Orreli,,NEW,bbs.orreli.net,45023.0,,,"Haugesund, , Norway",,Synchronet,Norway,,Synchronet
BBS Orreli TWGS,,Desired Handle,bbs.orreli.net,2002.0,,,"Odda, , Norway",,TWGS,Norway,,Other
BBS Retrocampus,,Enter,bbs.retrocampus.com,23.0,,,"London, , England",,Petscii BBS,England,,Other
BBS Telesc.net.br,Mauro Correa,Novo,bbs.telesc.net.br,,22.0,http://bbs.telesc.net.br,"Urussanga, Santa Catarina, Brazil",+554831984696,Synchronet,Brazil,Santa Catarina,Synchronet
BBS.JasonWalker.ca,,Desired Handle,bbs.jasonwalker.ca,2323.0,,,"Kitchener,, ON, Canada",,Mystic,Canada,,Mystic
BBS.Telearena.us,,NEW,bbs.telearena.us,,,,"East Wenatchee, WA, USA",,Worldgroup,USA,WA,Other
BCG-Box,,Real Name,bbbs.net,23.0,,http://bbbs.net,"Turku, , Finland",,BBBS,Finland,,Other
BCR Games Server,d_rebel,,bcrgames.com,31337.0,,http://www.bcrgames.com,"Hollywood, CA, USA",,Wildcat,USA,CA,Other
Bear's Den,Mat Sanders,NEW,bbs.bearfather.net,23.0,,http://www.bearfather.net,"Portland, OR, USA",,Worldgroup,USA,OR,Other
Beiyou Forum,,NEW,bbs.byr.cn,,,,"Bejing, , China",,Custom,China,,Other
Beryl BBS,,Guest,beryl.h-o-soft.com,2323.0,,,"Kyoto, , Japan",,Custom,Japan,,Other
Big Rabbit BBS,,new,bunnybbs.tw,,,,"Tokyo, , Japan",,Custom,Japan,,Other
Big Time BBS,Keyop Troy,Desired Handle,bigtimebbs.net,2323.0,2222.0,,"Huddersfield, West Yorkshire, England",+44-1484-320007,Mystic,England,West Yorkshire,Mystic
Big5 BBS,,new,39.106.161.147,,,,"Beijing, , China",,MapleBBS,China,,Other
BirdEnuf BBS,Joseph Quinn,new,bbs.birdenuf.com,2003.0,,http://bbs.birdenuf.com,"Berkshires, MA, USA",,"MajorBBS, Worldgroup",USA,MA,Other
BitPlane BBS,,NEW,wa7npx.org,2323.0,,,"Phoenix, AZ, USA",,Synchronet,USA,AZ,Synchronet
Bits & Bytes BBS,AJLeary,Real Name,bbs.bnbbbs.net,2023.0,,,"Groton, CT, USA",,ProBoard,USA,CT,Other
Bitwoods RBBS-PC,Aaro Koskinen,,bitwoods.duckdns.org,,22.0,http://aakoskin.kapsi.fi/bbs.php,"Helsinki, , Finland",,RBBS,Finland,,Other
Black Flag BBS,Hawk Hubbard,Desired Handle,blackflag.acid.org,23.0,,,"Hudson, FL, USA",,Mystic,USA,FL,Mystic
Black Tower BBS,Hawk Hubbard,Desired Handle,blackflag.acid.org,26.0,,,"Hudson, FL, USA",,Mystic,USA,FL,Mystic
BlackICE,blackice,Desired handle,blackice.bbsindex.de,23.0,,http://bbsindex.de,"Duesseldorf, , Germany",,Mystic,Germany,,Mystic
Blacklight Underground,,NEW,acentauribbs.no-ip.org,2424.0,,,"West Barnstable, MA, USA",,Synchronet,USA,MA,Synchronet
Blackstar BBS,,Real Name,blackstar-bbs.servegame.com,,,,"Anderson, IN, USA",,Wildcat,USA,IN,Other
Blood Stone,Jimmy Mac,NEW,wwiv.bsbbs.com,2323.0,22.0,http://www.bsbbs.com,"Rohnert Park, CA, USA",,WWIV,USA,CA,WWIV
BLOODBBS,James Knowlton,Desired Handle,blood.bbsn.us,2323.0,,http://blood.bbsn.us,"Livingston, TX, USA",,Mystic,USA,TX,Mystic
Blurred Vision,Erik McDonald,NEW,bbs.novass.net,2323.0,,http://bv.novass.net,"Allentown, PA, USA",,Virtual BBS,USA,PA,Other
Boar's Head Tavern,macx,NEW,byob.hopto.org,64128.0,,http://csdb.dk/bbs/?id=2186,"Taasinge, passed Tannhäuser Gate, Denmark",,C-Base,Denmark,passed Tannhäuser Gate,C-Base
BodaX BBS,beardy,new,bbs.beardy.se,,22.0,http://beardy.se/bodax-bbs,"Tierp, , Sweden",,Enigma 1/2,Sweden,,Enigma 1/2
Boebertfeet,,Desired Handle,66.228.38.176,52270.0,,,"Cedar Knolls, NJ, USA",,Mystic,USA,NJ,Mystic
BoobTube,Rusty Bennett,NEW,bbs.wz5bbs.com,23.0,,,"Austin, TX, USA",,Synchronet,USA,TX,Synchronet
Books Chess Server,internetking425,,books.internetking.us,5000.0,,,"Kent, WA, USA",,Custom,USA,WA,Other
Boot Factory 2K+,Cabell Clarke,new,bfbbs.no-ip.com,8888.0,,,"Mechanicsville, VA, USA",,Atari,USA,VA,Other
Borderline BBS,Andrew Wiskow,Press Return/Enter,borderlinebbs.dyndns.org,6400.0,,http://borderlinebbs.dyndns.org,"Hemet, CA, USA",951-652-1690,All American,USA,CA,Other
Bottomless Abyss BBS,stackfault,,bbs.bottomlessabyss.net,2023.0,2222.0,http://bbs.bottomlessabyss.net,"Quebec City, QC, Canada",,Mystic,Canada,QC,Mystic
Brain Storm BBS (SSH),Ioram7,Real Name,bsbbs.com.br,22.0,22.0,http://www.bsbbs.com.br,"Recife, , Brazil",,EleBBS,Brazil,,Other
Brazi.net,,NEW,brazi.net,,,,"Jackson, TN, USA",,Synchronet,USA,TN,Synchronet
Brett Bender BBS,,Desired Handle,207.90.251.241,2323.0,,,"Williston, VT, USA",,Mystic,USA,VT,Mystic
Brewery BBS,Baldrick,NEW,thebrewery.servebeer.com,6400.0,,,"Shelburne, NS, Canada",,GBBS Pro,Canada,NS,Other
Brian's Blog TWGS,,Enter,tw2002.briancmoses.com,,,,"San Antonio, TX, USA",,TWGS,USA,TX,Other
Brigandine,Jonathan Pullen,,brigandine.org,9390.0,,http://brigandine.org,"Salt Lake City, UT, USA",,Custom,USA,UT,Other
Broken Bubble,,NEW,bbs.thebrokenbubble.com,,,,"Beacon Falls, CT, USA",,Synchronet,USA,CT,Synchronet
Brotherhood Of Groovyness,,NEW,bbs.b-o-g.org,,,,"Sioux City, IA, USA",,Synchronet,USA,IA,Synchronet
BUEMA BBS,Marc Buehler,Real Name,bbs.buema.ch,2300.0,,http://buema.ch/bbs,"Chur, GR, Switzerland",,Wildcat,Switzerland,GR,Other
Bunker 3,,Desired Handle,woofer.v6.rocks,8888.0,,,"Greenville, OH, USA",,Mystic,USA,OH,Mystic
Butterfly BBS,,new,211.68.71.66,,,,"Beijing, , China",,Custom,China,,Other
Byte Me BBS,,NEW,chat.hohimer.org,2323.0,,,"Russellville, KY, USA",,Renegade,USA,KY,Other
ByteBarn BBS,Markus Maussner,Desired Handle,bbs.bytebarn.de,2300.0,,,"Sernow, , Germany",,Mystic,Germany,,Mystic
C3BBS,Harald Welte,NEW,c3bbs.retronetworking.org,23.0,,http://c3bbs.retronetworking.org,"Berlin, , Germany",,Synchronet,Germany,,Synchronet
C64 Pub,,NEW,bbs.c64.pub,,,,"Guntersville, AL, USA",929-643-1173,Synchronet,USA,AL,Synchronet
C64 Ultimate Club,,new,c64u.club,6400.0,,,"Murrieta, CA, USA",,commodore,USA,CA,Other
Cabana Bar BBS,Matt Webster,Desired Handle,bbs.cabanabar.net,11123.0,11122.0,http://www.cabanabar.net,"Glastonbury, CT, USA",,Mystic,USA,CT,Mystic
Cabin BBS,Adam Lippman,,thecabinbbs.com,6400.0,,,"Norwalk, CT, USA",,Color 64,USA,CT,Other
Canerduh BBS,,Desired Handle,bbs.canerduh.com,23905.0,,,"Medicine Hat, AB, Canada",,Mystic,Canada,AB,Mystic
Capital Station BBS,Gregory Deyss,NEW,csbbs.dyndns.org,23.0,,,"Schodack, NY, USA",,Mystic,USA,NY,Mystic
Capitol City Online BBS,Mike Powell,NEW,capitolcityonline.net,23.0,,http://capcity2.synchro.net,"Frankfort, KY, USA",,Synchronet,USA,KY,Synchronet
Capitol Shrill BBS,nolageek,NEW,capitolshrill.com,23.0,22.0,http://www.capitolshrill.com,"Arlington, VA, USA",,Synchronet,USA,VA,Synchronet
Captain's Quarters BBS II,Byte Knight,,cqbbs.ddns.net,6800.0,,http://cqbbs.ddns.net,"Waconia, MN, USA",,Mystic,USA,MN,Mystic
Casbah,rosenrost,GAST or GUEST,casbah.goip.de,5354.0,,http://www.oliver-graf.eu/casbah,"Castrop-Rauxel, , Germany",,ProBOX,Germany,,Other
Castle BBS,,NEW,47.46.52.130,,,,"Holland, MI, USA",,Worldgroup,USA,MI,Other
Castle Rock BBS,,NEW,cedarvalleybbs.com,2424.0,,,"Marion, IA, USA",,Worldgroup,USA,IA,Other
Catpit BBS,,guest,bbs.cis92.net,,,,"Heiwajima, , Japan",,MapleBBS,Japan,,Other
Cave BBS,,NEW,cavebbs.homeip.net,23.0,,http://www.cavebbs.com,"Raleigh, NC, USA",,Synchronet,USA,NC,Synchronet
CB2 Micro BBS,KOS,,email.qrp.gr,2323.0,,http://cb2.qrp.gr,"Patra, , Greece",,MicroBBS,Greece,,Other
Cbaxyz TWGS,,Desired Handle,tdod.org,2002.0,,,"Denver, CO, USA",,TWGS,USA,CO,Other
CBBS/TN,Patrick Linstruth,,cbbs.mitsaltair.com,8800.0,,,"Chattanooga, TN, USA",,CBBS,USA,TN,Other
CCUW BBS,,Desired Handle,rtc.to,23.0,,,"Rotkreuz, , Switzerland",,Mystic,Switzerland,,Mystic
CCX BBS,,NEW,bbs.ccxbbs.net,,,,"Galt, CA, USA",,MajorBBS,USA,CA,Other
CedarValley BBS,,NEW,cedarvalleybbs.com,2525.0,,http://www.cedarvalleybbs.com,"Marion, IA, USA",,Worldgroup,USA,IA,Other
CedarValley BBS 2,,NEW,cedarvalleybbs.com,2626.0,,,"Cedar Rapids, IA, USA",,MajorBBS,USA,IA,Other
Cellfish BBS,,Desired Handle,cloud.kanskje.com,,,,"Oslo, , Norway",,Mystic,Norway,,Mystic
Cement City,,new,scenewall.bbs.io,4000.0,,,"Ashburn, VA, USA",,AmiExpress,USA,VA,Other
Centronian BBS,,Desired Handle,bbs.centronian.ca,6400.0,,,"Montreal, QC, Canada",,Magnetar BBS,Canada,QC,Other
Chaotic Factor BBS,Joseph Gargano,Desired Handle,chfbbs.net,,,http://chfbbs.net,"South Hero, VT, USA",,Mystic,USA,VT,Mystic
Chatter BBS,Yunjin Lee,,chatter.pw,2323.0,22.0,http://webterm.korokorok.com,"Buk-gu, , South Korea",,Custom,South Korea,,Other
Chimia BBS,,account,chimia.se,2323.0,,,"Stockholm, , Sweden",,ABBS,Sweden,,Other
Choice Core BBS (1st),,NEW,1stchoicecore.co.nz,23.0,,,"Ashburton, , New Zealand",,Synchronet,New Zealand,,Synchronet
Choice Core BBS (2nd),,,2ndchoicecore.nz,1024.0,,,"Ashburton, , New Zealand",,Mystic,New Zealand,,Mystic
Choice Core BBS (4th),,Desired Handle,1stchoicecore.co.nz,1030.0,,,"Ashburton, , New Zealand",,Mystic,New Zealand,,Mystic
Choice Core BBS (6th),,NEW,1stchoicecore.co.nz,1028.0,,,"Ashburton, , New Zealand",,Talisman BBS,New Zealand,,Other
Chosenman BBS,Trosty,,chosenman.duckdns.org,23.0,,http://chosenman.duckdns.org,"Plano, TX, United States",,Synchronet,United States,TX,Synchronet
Christian Fellowship,Michael_Luko,Real Name,cfbbs.no-ip.com,26.0,,,"Mt. Ephriam, NJ, USA",,PCBoard,USA,NJ,Other
Chrysalis Online Services TBBS BBS,Garry Grosse,Real Name,chrysalisbbs.org,8888.0,,http://magicalmoth.com/chrysalis,"Dallas, TX, USA",,TBBS,USA,TX,Other
CIA Amiga BBS,tlgrooms,,ciaamiga.org,6400.0,,http://www.ciaamiga.org,"Mayflower, AR, USA",,Zeus,USA,AR,Other
CIRCL's BBS,,NEW,bbs.circl.lu,,,,"Luxembourg, , Luxembourg",,Synchronet,Luxembourg,,Synchronet
Citadel 64 BBS,chiefnerd,,citadel64.thejlab.com,6400.0,,,"Oakdale, California, USA",,Color 64,USA,California,Other
Citrick BBS,,NEW,citlmbbs.synchro.net,2300.0,,,"Tenerife, , Spain",,Synchronet,Spain,,Synchronet
Cittadella BBS,,Ospite,bbs.cittadellabbs.it,4001.0,,http://bbs.cittadellabbs.it,"Milano, , Italy",,Cittadella/UX,Italy,,Other
City Of Angels BBS,,NEW,houseoftna.xyz,,,,"Boston, MA, USA",,Synchronet,USA,MA,Synchronet
City on the Edge of Forever,,Desired Handle,interzone.annexia.xyz,2002.0,,,"Ottawa, ON, Canada",,TWGS,Canada,ON,Other
CJ's Place,,NEW,cjsplace.thruhere.net,,,,"Orange City, FL, USA",,Synchronet,USA,FL,Synchronet
Clacker Works,prysm1,guest,cw.qc.to,9000.0,,,"Winnipeg, MB, Canada",,Custom,Canada,MB,Other
Classic BBS,Mike Chilson,Desired Handle,board.classicbbs.net,9339.0,,http://classicbbs.net,"Birmingham, AL, USA",,Mystic,USA,AL,Mystic
Classic Computing BBS,,Desired Handle,bbs.classiccomputing.net,,,,"New Westminster, BC, Canada",,Mystic,Canada,BC,Mystic
Classic Macs BBS,,NEW,macos.retro-os.live,,,,"Fremont, CA, USA",,Synchronet,USA,CA,Synchronet
Claude's BBS,,new,claudes.lovelybits.org,2323.0,,,"Beauharnois, QC, Canada",,Custom,Canada,QC,Other
Clover Love (Chinese),,new,segaa.net,,,,"London, , England",,MapleBBS,England,,Other
Clube da Insonia BBS,,NEW,bbs.conf.eti.br,,,,"Rio de Janeiro, , Brazil",,Synchronet,Brazil,,Synchronet
Clutch BBS,Niter3,Alias,clutchbbs.com,23.0,,,"Windsor, ON, Canada",,"Mystic, Retro",Canada,ON,Mystic
Coal Mine BBS,,Desired Handle,84.104.78.157,,,,"Zoetermeer, , The Netherlands",,ArmBBS,The Netherlands,,Other
COCONet,,NEW,coconet.ddns.net,6809.0,,,"Fulton, NY, USA",,Synchronet,USA,NY,Synchronet
CodeRed BBS,,NEW,coderedmud.servegame.com,2323.0,,,"Vancouver, WA, USA",,Worldgroup,USA,WA,Other
COE BBS,joe selick,Desired Handle,bbs.eow.lol,2377.0,,,"Jewett City, CT, USA",,Mystic,USA,CT,Mystic
COE/EOW,,NEW,eow.lol,2377.0,,,"Cedar Knolls, NJ, USA",,Synchronet,USA,NJ,Synchronet
Cold Fusion BBS,Alexander Grotewohl,Desired Handle,cfbbs.net,,,http://cfbbs.net,"Grand Rapids, MI, USA",,Mystic,USA,MI,Mystic
Cold Winter Knights,Bill Glaholt,Create,bbs.coldwinterknights.net,8888.0,,http://www.coldwinterknights.net,"Sacramento, CA, USA",,Custom,USA,CA,Other
Colorado Springs Central Net,,Real Name,cscnet.net,,,,"Maryville, TN, USA",,Wildcat,USA,TN,Other
Colorado Springs Central Net TWGS,,Desired Handle,cscnet.net,2002.0,,,"Maryville, TN, USA",,TWGS,USA,TN,Other
Colossus BBS,,NEW,bbs.qzwx.com,23.0,,http://www.qzwx.com,"Centreville, VA, USA",,WWIV,USA,VA,WWIV
Commodore Image,X-Tec,NEW,cib.dyndns.org,6400.0,,,"Lakeland, FL, USA",,Image BBS,USA,FL,Image BBS
Commodore Image II,X-Tec,NEW,cib.dyndns.org,6401.0,,,"Lakeland, FL, USA",,Image BBS,USA,FL,Image BBS
Commodore Image III,X-Tec,NEW,cib.dyndns.org,6402.0,,,"Lakeland, FL, USA",,Image BBS,USA,FL,Image BBS
Comms Nuts BBS,,Desired Handle,203.38.121.134,2323.0,,,"Hobart, TAS, Australia",,Mystic,Australia,TAS,Mystic
Company Citadel BBS,,Desired Handle,www.companycitadel.us,,,,"Orlando, FL, USA",,Mystic,USA,FL,Mystic
COMPUTE!'s Gazette BBS,Edwin Nagle,,64life.net,1983.0,,http://computesgazette.com,"Austin, TX, USA",,Searchlight,USA,TX,Other
Computer Express,,NEW,cebbs.costakis.org,23.0,,,"Anoka, MN, USA",,Synchronet,USA,MN,Synchronet
Computer God,,NEW,cpugod.synchro.net,,,,"Grantsville, UT, USA",,Synchronet,USA,UT,Synchronet
Concrete Roots,,new,concreteroots.servebbs.org,,,,"Oslo, , Norway",,AmiExpress,Norway,,Other
Constructive Chaos BBS,Craig Hendricks,NEW,conchaos.synchro.net,,22.0,http://conchaos.synchro.net,"Canton, OH, USA",,Synchronet,USA,OH,Synchronet
Constructive Chaos TWGS,,Desired Handle,conchaos.synchro.net,2002.0,,,"North Canton, OH, USA",,TWGS,USA,OH,Other
Convolution,,NEW,convolution.us,,,,"Bethlehem, PA, USA",,Synchronet,USA,PA,Synchronet
Cool David,,NEW,bbs.cooldavid.org,,,,"Taipei, , Taiwan",,Custom,Taiwan,,Other
Cosmic Mycelium BBS,,Desired Handle,172.110.183.196,2323.0,,,"Los Chavez, NM, USA",,Mystic,USA,NM,Mystic
Cottonwood BBS,Andrew Wiskow,,cottonwoodbbs.dyndns.org,6502.0,,http://cottonwoodbbs.dyndns.org,"Hemet, CA, USA",951-652-1690 ,Color 64,USA,CA,Other
Crack In Time BBS,,NEW,crackintimebbs.ddns.net,2323.0,,,"Ridgewood, NJ, USA",,Synchronet,USA,NJ,Synchronet
CrappieCracker Online BBS,Kim Horn,Real Name,www.crappiecracker.com,2323.0,,http://www.crappiecracker.com,"Crescent City, FL, USA",,Wildcat,USA,FL,Other
Crazy Eric's BBS,,NEW,bbs.crazyerics.com,23.0,,,"Everett, WA, USA",,Synchronet,USA,WA,Synchronet
Crazy Paradise,,NEW,cpbbs.de,2323.0,,,"Berlin, , Germany",,commodore,Germany,,Other
Crazy World BBS (Game Server),Marc-Andre Leveille,NEW,crazyworldbbs.com,888.0,,,"Montreal, QC, Canada",,Synchronet,Canada,QC,Synchronet
Crazy World BBS (Mystic),,Desired Handle,crazyworldbbs.com,2324.0,,,"Carleton-sur-Mer, QC, Canada",,Mystic,Canada,QC,Mystic
Crazy World BBS (Synchronet),Marc-Andre Leveille,NEW,crazyworldbbs.com,2323.0,2222.0,http://crazyworldbbs.com,"Carleton-sur-Mer, QC, Canada",,Synchronet,Canada,QC,Synchronet
Crisis/Line BBS,,NEW,crisisbbs.net,,,,"Piscataway, NJ, USA",,Synchronet,USA,NJ,Synchronet
CrNet BBS,,Desired Handle,bbs.crnet.net,2323.0,,,"Lake Ronkonkoma, NY, USA",,Mystic,USA,NY,Mystic
Crusty Chicken TWGS,,Desired Handle,69.4.62.151,,,,"Ingram, TX, USA",,TWGS,USA,TX,Other
Crystal Palace,beau,,cptalker.com,9900.0,,,"Chicago, IL, USA",,Custom,USA,IL,Other
Crystal Set,,NEW,zl4kj.nz,,,,"Invercargill, , New Zealand",,Synchronet,New Zealand,,Synchronet
Cyber Sword,,Desired Handle,bbs.excalibursheath.com,,,,"Santa Clara, CA, USA",,Mystic,USA,CA,Mystic
Cyberia BBS,,Real Name,sysgod.org,23000.0,,,"Sydney, NSW, Australia",,EleBBS,Australia,NSW,Other
Cyberspace BBS (Synchronet),,NEW,cyberspacebbs.net,,,,"Fridley, MN, USA",,Synchronet,USA,MN,Synchronet
Cyberspace BBS (Worldgroup),,NEW,cyberspacebbs.net,2323.0,,,"Fridley, MN, USA",,Worldgroup,USA,MN,Other
Cyrellia BBS,,NEW,bbs.cyrellia.com,,,,"Orlando, FL, USA",,Synchronet,USA,FL,Synchronet
D0P3 BBS,,NEW,bbs.intersrv.net,,,,"Melborne, VIC, Australia",,Synchronet,Australia,VIC,Synchronet
Danger Bay BBS,Night Rider,Apply - Open to All,dangerbaybbs.dyndns.org,1337.0,,,"Vancouver, BC, Canada",,PCBoard,Canada,BC,Other
Dank Domain,Robert Hurst,NEW,play.ddgame.us,23.0,,http://www.ddgame.us,"Providence, RI, USA",,Mystic,USA,RI,Mystic
Dark Endless,,new,darkendlessbbs.hopto.org,6510.0,,,"Philadelphia, PA, USA",,C-Base,USA,PA,C-Base
Dark Game BBS,,Desired Handle,darkgame.buanzo.org,,,,"Buenos Aires, , Argentina",,Mystic,Argentina,,Mystic
Dark Realms,,NEW,bbs.darkrealms.ca,23.0,,http://www.darkrealms.ca,"Toronto, ON, Canada",647-847-2083,Renegade,Canada,ON,Other
Dark Side BBS,,Desired Handle,bbs.mynameisgabe.com,,,,"The Woodlands, TX, USA",,Mystic,USA,TX,Mystic
Dark Systems BBS,Aaron Grasswell,Real Name or Handle,bbs.dsbbs.ca,,,http://www.dsbbs.ca,"Peterborough, Ontario, Canada",,RemoteAccess,Canada,Ontario,Other
Dark Wastelands,,NEW,darkwastelands.com,8888.0,,,"Denver, CO, USA",,Synchronet,USA,CO,Synchronet
DarkAges BBS,,NEW,192.187.108.99,,,,"Kansas City, MO, USA",,Synchronet,USA,MO,Synchronet
